network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_15754_PB_30073_PB_35768,0.198,0.198,0.198,0.092,0.172,0.083,0.075,0.064,0.184,0.085,0.087,0.127,0.058,0.103,0.254,0.116,0.159,0.123,0.07,0.097,0.128,0.079,1
PB_16247_PB_26800_PB_29679,0.156,0.156,0.156,0.053,0.253,0.296,0.297,0.218,0.052,0.254,0.089,0.171,0.223,0.198,0.12,0.084,0.303,0.303,0.306,0.142,0.279,0.164,1
PB_16247_PB_26800_PB_43186,0.156,0.156,0.156,0.084,0.122,0.146,0.159,0.135,0.044,0.186,0.059,0.122,0.084,0.129,0.083,0.099,0.16,0.115,0.168,0.108,0.14,0.04,1
PB_182_PB_20873_PB_29679,0.077,0.077,0.077,0.052,0.313,0.28,0.25,0.241,0.068,0.289,0.15,0.166,0.266,0.249,0.243,0.082,0.366,0.316,0.242,0.106,0.243,0.255,1
PB_182_PB_26800_PB_29679,0.08,0.08,0.08,0.054,0.301,0.275,0.245,0.258,0.061,0.292,0.171,0.161,0.255,0.24,0.238,0.074,0.359,0.309,0.24,0.111,0.237,0.24,1
PB_182_PB_29679_PB_31279,0.09,0.09,0.09,0.059,0.309,0.279,0.248,0.243,0.078,0.295,0.154,0.164,0.257,0.244,0.242,0.079,0.364,0.314,0.242,0.119,0.241,0.256,1
PB_20054_PB_20873_PB_39822,0.189,0.189,0.189,0.044,0.108,0.155,0.192,0.045,0.132,0.07,0.044,0.049,0.113,0.118,0.093,0.027,0.134,0.175,0.079,0.047,0.127,0.059,1
PB_20054_PB_26800_PB_39822,0.186,0.186,0.186,0.034,0.102,0.158,0.193,0.041,0.139,0.077,0.058,0.05,0.124,0.12,0.088,0.041,0.134,0.175,0.069,0.047,0.129,0.068,1
PB_20054_PB_31969_PB_39822,0.186,0.186,0.186,0.031,0.103,0.158,0.193,0.065,0.144,0.067,0.07,0.061,0.131,0.12,0.089,0.046,0.134,0.175,0.073,0.052,0.129,0.063,1
PB_20197_PB_20873_PB_39822,0.199,0.199,0.199,0.102,0.196,0.116,0.089,0.151,0.079,0.206,0.086,0.074,0.118,0.21,0.133,0.089,0.177,0.124,0.101,0.113,0.149,0.108,1
PB_20197_PB_26800_PB_29679,0.145,0.145,0.145,0.059,0.303,0.252,0.233,0.253,0.053,0.285,0.132,0.1,0.247,0.236,0.173,0.073,0.339,0.301,0.22,0.108,0.242,0.222,1
PB_20197_PB_26800_PB_39822,0.197,0.197,0.197,0.092,0.188,0.113,0.088,0.169,0.071,0.211,0.1,0.076,0.109,0.207,0.128,0.076,0.171,0.118,0.101,0.111,0.144,0.107,1
PB_20197_PB_29679_PB_31406,0.147,0.147,0.147,0.057,0.309,0.255,0.235,0.231,0.072,0.282,0.119,0.103,0.248,0.242,0.175,0.076,0.342,0.305,0.223,0.111,0.244,0.233,1
PB_20197_PB_31406_PB_39822,0.198,0.198,0.198,0.089,0.191,0.115,0.099,0.146,0.09,0.205,0.086,0.091,0.109,0.209,0.13,0.077,0.174,0.121,0.104,0.112,0.148,0.108,1
PB_20873_PB_24620_PB_43186,0.135,0.135,0.135,0.071,0.19,0.136,0.101,0.158,0.083,0.214,0.122,0.111,0.121,0.214,0.188,0.094,0.195,0.126,0.114,0.087,0.148,0.108,1
PB_20873_PB_24895_PB_29679,0.099,0.099,0.099,0.053,0.165,0.101,0.104,0.084,0.051,0.136,0.074,0.059,0.047,0.202,0.078,0.05,0.106,0.079,0.11,0.066,0.075,0.157,1
PB_20873_PB_24895_PB_39822,0.146,0.146,0.146,0.028,0.056,0.178,0.201,0.063,0.097,0.045,0.048,0.052,0.139,0.091,0.043,0.045,0.152,0.196,0.092,0.03,0.148,0.048,1
PB_24620_PB_26800_PB_39822,0.13,0.13,0.13,0.065,0.181,0.133,0.099,0.177,0.075,0.221,0.144,0.107,0.112,0.212,0.181,0.08,0.192,0.119,0.113,0.087,0.145,0.106,1
PB_24620_PB_31406_PB_43186,0.134,0.134,0.134,0.061,0.185,0.134,0.1,0.154,0.094,0.212,0.127,0.121,0.111,0.212,0.185,0.082,0.193,0.123,0.116,0.087,0.146,0.107,1
PB_24895_PB_26800_PB_29679,0.096,0.096,0.096,0.06,0.159,0.102,0.106,0.104,0.059,0.138,0.075,0.056,0.04,0.186,0.074,0.052,0.101,0.073,0.104,0.069,0.073,0.14,1
PB_24895_PB_26800_PB_39822,0.144,0.144,0.144,0.021,0.082,0.181,0.202,0.062,0.102,0.05,0.061,0.054,0.144,0.092,0.046,0.046,0.153,0.197,0.084,0.032,0.149,0.059,1
PB_24895_PB_29679_PB_31279,0.102,0.102,0.102,0.063,0.16,0.113,0.116,0.094,0.061,0.137,0.075,0.06,0.041,0.2,0.077,0.05,0.104,0.077,0.106,0.082,0.075,0.156,1
PB_24895_PB_31969_PB_39822,0.144,0.144,0.144,0.025,0.071,0.181,0.202,0.085,0.103,0.062,0.074,0.061,0.157,0.092,0.045,0.047,0.153,0.197,0.088,0.035,0.149,0.053,1
PB_26800_PB_39822_PB_23094,0.199,0.199,0.199,0.093,0.199,0.118,0.088,0.179,0.073,0.222,0.104,0.073,0.109,0.218,0.142,0.077,0.183,0.119,0.109,0.117,0.146,0.12,1
PB_29679_PB_30162_PB_23094,0.151,0.151,0.151,0.058,0.321,0.26,0.23,0.24,0.079,0.291,0.124,0.102,0.246,0.244,0.187,0.071,0.35,0.305,0.229,0.125,0.244,0.244,1
PB_29679_PB_31969_PB_23094,0.151,0.151,0.151,0.058,0.322,0.261,0.231,0.24,0.081,0.292,0.123,0.103,0.247,0.244,0.188,0.072,0.351,0.306,0.23,0.126,0.245,0.245,1
PB_110_PB_35768_PB_39822,0.666,0.666,0.666,0.213,0.249,0.083,0.152,0.203,0.094,0.269,0.308,0.177,0.189,0.36,0.325,0.152,0.189,0.222,0.201,0.174,0.131,0.295,0
PB_25142_PB_25640_PB_27979,0.343,0.343,0.343,0.211,0.573,0.72,0.678,0.617,0.258,0.705,0.458,0.181,0.745,0.635,0.504,0.29,0.644,0.709,0.433,0.43,0.66,0.74,0
PB_25142_PB_25640_PB_35727,0.353,0.353,0.353,0.21,0.585,0.708,0.659,0.635,0.264,0.719,0.474,0.17,0.751,0.64,0.509,0.29,0.648,0.71,0.443,0.426,0.665,0.75,0
PB_25142_PB_25640_PB_40854,0.388,0.388,0.388,0.214,0.631,0.663,0.568,0.71,0.248,0.793,0.515,0.174,0.754,0.677,0.525,0.253,0.653,0.723,0.494,0.399,0.694,0.788,0
PB_25142_PB_25640_PB_43279,0.389,0.389,0.389,0.213,0.636,0.666,0.57,0.713,0.222,0.798,0.503,0.175,0.729,0.682,0.507,0.252,0.654,0.724,0.496,0.4,0.697,0.791,0
PB_25640_PB_35727_PB_36928,0.368,0.368,0.368,0.202,0.591,0.713,0.66,0.642,0.265,0.725,0.484,0.158,0.748,0.645,0.503,0.3,0.652,0.711,0.454,0.428,0.665,0.76,0
PB_25640_PB_35727_PB_40854,0.398,0.398,0.398,0.209,0.635,0.666,0.568,0.717,0.249,0.794,0.521,0.169,0.755,0.684,0.528,0.256,0.656,0.726,0.495,0.402,0.694,0.794,0
PB_25640_PB_36928_PB_43279,0.4,0.4,0.4,0.205,0.639,0.67,0.571,0.718,0.224,0.794,0.512,0.163,0.729,0.69,0.505,0.258,0.657,0.728,0.498,0.405,0.698,0.798,0
PB_25640_PB_40854_PB_41589,0.396,0.396,0.396,0.213,0.634,0.664,0.567,0.714,0.247,0.797,0.518,0.184,0.753,0.68,0.527,0.254,0.656,0.728,0.506,0.4,0.692,0.792,0
PB_25640_PB_40854_PB_43279,0.399,0.399,0.399,0.214,0.64,0.664,0.565,0.719,0.223,0.804,0.51,0.181,0.73,0.689,0.511,0.253,0.657,0.73,0.51,0.395,0.697,0.797,0
PB_25640_PB_41589_PB_43279,0.399,0.399,0.399,0.214,0.64,0.664,0.565,0.719,0.223,0.804,0.51,0.181,0.73,0.689,0.511,0.253,0.657,0.73,0.51,0.395,0.697,0.797,0
PB_35727_PB_40854_PB_41589,0.444,0.444,0.444,0.205,0.701,0.682,0.562,0.787,0.258,0.863,0.583,0.169,0.8,0.734,0.554,0.311,0.682,0.747,0.519,0.435,0.72,0.858,0
PB_36928_PB_38586_PB_40854,0.444,0.444,0.444,0.202,0.706,0.683,0.56,0.791,0.261,0.861,0.594,0.161,0.804,0.744,0.548,0.319,0.682,0.744,0.521,0.436,0.728,0.867,0
