ecozone,ecoregion,nets_rep,nets_nonrep,species,density_mean,density_cv,cmi_coef,cmi_tstat,gpp_coef,gpp_tstat,led_coef,led_tstat,lcc_coef,lcc_tstat,r2,rmse,pval,cmi_p,gpp_p,led_p,lcc_p
4,51,49,192,caribou,NA,NA,-0.532,-3.08,-0.085,-0.28,-0.171,-0.59,1.176,4.55,0.540,0.062,0.0000,0.0023,0.7815,0.5588,0.0000
4,52,357,141,caribou,NA,NA,0.010,0.43,0.110,3.63,0.083,2.61,0.391,10.51,0.587,0.033,0.0000,0.6658,0.0003,0.0093,0.0000
4,53,76,500,caribou,NA,NA,-0.265,-8.06,-0.822,-13.25,0.787,14.39,0.493,6.72,0.667,0.040,0.0000,0.0000,0.0000,0.0000,0.0000
4,55,21,145,caribou,NA,NA,-0.032,-0.62,0.701,6.84,0.185,1.71,-0.386,-2.76,0.316,0.091,0.0000,0.5353,0.0000,0.0885,0.0064
4,59,500,152,caribou,NA,NA,0.169,4.80,-0.134,-2.56,0.155,3.61,0.058,1.01,0.170,0.063,0.0000,0.0000,0.0107,0.0003,0.3106
4,60,470,93,caribou,NA,NA,0.089,5.35,0.052,5.43,-0.048,-3.42,0.132,10.05,0.482,0.014,0.0000,0.0000,0.0000,0.0007,0.0000
4,62,41,80,caribou,NA,NA,-0.175,-4.20,0.525,10.54,0.180,1.76,-0.234,-3.48,0.672,0.027,0.0000,0.0001,0.0000,0.0817,0.0007
5,68,233,208,caribou,NA,NA,-0.022,-0.26,-0.339,-1.56,0.478,4.47,0.268,1.78,0.296,0.074,0.0002,0.7947,0.1248,0.0000,0.0812
5,69,500,500,caribou,NA,NA,0.257,4.53,0.701,7.25,0.380,2.81,-1.426,-7.43,0.334,0.120,0.0000,0.0000,0.0000,0.0052,0.0000
5,70,500,129,caribou,NA,NA,-0.334,-1.00,1.495,1.05,-1.165,-0.85,-0.913,-0.91,-0.107,0.113,0.5884,0.3555,0.3358,0.4268,0.3956
5,71,500,167,caribou,NA,NA,-0.331,-5.81,0.186,2.22,-0.285,-2.99,0.485,4.05,0.177,0.082,0.0000,0.0000,0.0273,0.0030,0.0001
5,72,500,210,caribou,NA,NA,0.265,12.59,0.344,8.21,0.355,9.35,-0.056,-0.87,0.909,0.036,0.0000,0.0000,0.0000,0.0000,0.3842
5,74,500,173,caribou,NA,NA,0.101,2.99,-0.211,-3.58,0.097,2.27,-0.110,-1.68,0.020,0.068,0.0015,0.0029,0.0004,0.0235,0.0925
5,77,500,398,caribou,NA,NA,0.151,5.92,0.357,6.66,-0.070,-1.40,-0.005,-0.10,0.389,0.076,0.0000,0.0000,0.0000,0.1615,0.9235
5,78,500,365,caribou,NA,NA,0.159,6.56,-0.005,-0.14,-0.090,-2.35,0.192,6.87,0.218,0.061,0.0000,0.0000,0.8920,0.0190,0.0000
5,80,69,419,caribou,NA,NA,0.079,1.76,0.578,8.88,-0.204,-3.38,-0.482,-5.52,0.203,0.103,0.0000,0.0795,0.0000,0.0008,0.0000
6A,87,121,36,caribou,NA,NA,-0.216,-4.66,0.351,5.42,-0.294,-3.09,0.967,8.91,0.504,0.033,0.0000,0.0000,0.0000,0.0024,0.0000
6A,88,500,29,caribou,NA,NA,-0.219,-5.02,0.434,8.76,0.220,3.67,0.080,1.10,0.251,0.053,0.0000,0.0000,0.0000,0.0003,0.2717
6A,89,500,28,caribou,NA,NA,-0.002,-0.05,-0.007,-0.17,0.407,7.35,0.482,7.15,0.394,0.049,0.0000,0.9640,0.8623,0.0000,0.0000
6A,90,500,101,caribou,NA,NA,0.247,10.55,-0.069,-1.34,0.139,3.52,0.064,1.02,0.525,0.043,0.0000,0.0000,0.1801,0.0005,0.3080
6A,94,251,500,caribou,NA,NA,0.013,0.67,1.005,33.68,-0.124,-7.02,0.125,2.49,0.965,0.037,0.0000,0.5053,0.0000,0.0000,0.0132
6A,95,500,109,caribou,NA,NA,-0.090,-2.21,-0.077,-1.42,0.032,0.57,1.057,13.00,0.523,0.061,0.0000,0.0272,0.1557,0.5712,0.0000
6A,100,500,500,caribou,NA,NA,0.344,11.55,1.437,29.60,-0.439,-15.48,-0.284,-3.64,0.813,0.063,0.0000,0.0000,0.0000,0.0000,0.0003
6A,103,500,78,caribou,NA,NA,-0.031,-0.91,0.237,4.05,0.093,1.48,-0.079,-1.04,0.057,0.066,0.0000,0.3652,0.0001,0.1402,0.3003
6A,104,26,13,caribou,NA,NA,-0.432,-2.41,1.605,6.86,0.891,2.68,0.523,0.84,0.925,0.056,0.0000,0.0215,0.0000,0.0111,0.4067
6A,105,500,305,caribou,NA,NA,0.343,7.50,0.320,6.73,-0.016,-0.23,-0.036,-0.49,0.451,0.093,0.0000,0.0000,0.0000,0.8200,0.6225
9,136,31,49,caribou,NA,NA,0.723,6.47,-0.029,-0.23,-0.026,-0.21,-0.170,-0.57,0.788,0.055,0.0000,0.0000,0.8198,0.8373,0.5724
15,215,265,500,caribou,NA,NA,0.188,5.86,0.020,0.35,-0.102,-2.36,-0.045,-0.61,0.047,0.117,0.0000,0.0000,0.7285,0.0185,0.5390
15,216,500,500,caribou,NA,NA,-0.152,-5.11,0.514,11.39,0.115,2.05,0.367,4.58,0.423,0.103,0.0000,0.0000,0.0000,0.0408,0.0000
15,217,500,234,caribou,NA,NA,0.052,2.00,0.264,6.14,0.047,1.10,-0.112,-1.88,0.154,0.067,0.0000,0.0464,0.0000,0.2731,0.0612
4,51,49,192,allbirds,NA,NA,0.714,3.87,-0.148,-0.45,-2.581,-8.25,1.757,6.36,0.783,0.066,0.0000,0.0001,0.6521,0.0000,0.0000
4,52,357,141,allbirds,NA,NA,0.006,0.11,0.175,2.19,0.077,0.91,0.972,9.86,0.468,0.088,0.0000,0.9140,0.0293,0.3617,0.0000
4,53,76,500,allbirds,NA,NA,1.091,24.75,0.133,1.63,0.010,0.14,-1.455,-15.14,0.790,0.053,0.0000,0.0000,0.1033,0.8887,0.0000
4,55,21,145,allbirds,NA,NA,0.076,1.51,-0.055,-0.55,0.049,0.47,0.389,2.86,0.108,0.088,0.0002,0.1327,0.5838,0.6400,0.0048
4,59,500,152,allbirds,NA,NA,0.659,21.22,0.350,7.44,-0.010,-0.25,-0.100,-1.91,0.740,0.057,0.0000,0.0000,0.0000,0.8000,0.0571
4,60,470,93,allbirds,NA,NA,0.157,2.11,0.752,17.46,0.394,6.28,-0.373,-6.37,0.637,0.064,0.0000,0.0354,0.0000,0.0000,0.0000
4,62,41,80,allbirds,NA,NA,0.190,1.59,0.275,1.93,0.293,1.00,-0.697,-3.62,0.392,0.076,0.0000,0.1142,0.0564,0.3192,0.0004
5,68,233,208,allbirds,NA,NA,0.743,22.82,-0.069,-1.09,-0.180,-5.72,0.398,6.23,0.889,0.066,0.0000,0.0000,0.2776,0.0000,0.0000
5,69,500,500,allbirds,NA,NA,-0.045,-2.15,0.519,13.26,0.437,8.09,0.991,14.03,0.890,0.069,0.0000,0.0321,0.0000,0.0000,0.0000
5,70,500,129,allbirds,NA,NA,0.110,2.49,-0.532,-6.51,0.041,0.50,1.138,16.50,0.484,0.087,0.0000,0.0132,0.0000,0.6139,0.0000
5,71,500,167,allbirds,NA,NA,0.204,5.82,0.950,17.66,0.073,1.12,0.252,3.05,0.781,0.077,0.0000,0.0000,0.0000,0.2645,0.0024
5,72,500,210,allbirds,NA,NA,0.098,3.09,-0.053,-0.88,-0.093,-1.66,0.469,4.92,0.245,0.055,0.0000,0.0021,0.3802,0.0965,0.0000
5,74,500,173,allbirds,NA,NA,0.023,0.53,0.276,3.70,0.047,0.86,0.207,2.45,0.195,0.088,0.0000,0.5938,0.0002,0.3901,0.0144
5,77,500,398,allbirds,NA,NA,-0.163,-6.23,0.138,2.48,0.101,1.94,0.624,12.23,0.455,0.079,0.0000,0.0000,0.0133,0.0526,0.0000
5,78,500,365,allbirds,NA,NA,0.058,1.33,0.483,7.04,0.178,2.49,0.287,5.69,0.471,0.110,0.0000,0.1828,0.0000,0.0130,0.0000
5,80,69,419,allbirds,NA,NA,-0.280,-4.45,0.860,9.46,-0.035,-0.41,-0.159,-1.30,0.230,0.143,0.0000,0.0000,0.0000,0.6809,0.1940
6A,87,121,36,allbirds,NA,NA,0.206,2.50,0.636,5.53,-0.137,-0.81,-0.635,-3.29,0.378,0.058,0.0000,0.0136,0.0000,0.4214,0.0012
6A,88,500,29,allbirds,NA,NA,0.335,4.75,0.279,3.61,0.255,2.67,-0.266,-2.30,0.263,0.084,0.0000,0.0000,0.0003,0.0079,0.0217
6A,89,500,28,allbirds,NA,NA,-0.118,-2.14,0.619,11.88,-0.263,-3.67,0.220,2.55,0.295,0.063,0.0000,0.0330,0.0000,0.0003,0.0109
6A,90,500,101,allbirds,NA,NA,0.218,7.14,0.330,4.85,0.466,9.45,-0.316,-3.62,0.554,0.054,0.0000,0.0000,0.0000,0.0000,0.0003
6A,94,251,500,allbirds,NA,NA,0.446,7.77,-1.000,-11.49,0.885,17.64,1.038,7.18,0.630,0.104,0.0000,0.0000,0.0000,0.0000,0.0000
6A,95,500,109,allbirds,NA,NA,-0.224,-3.67,0.056,0.73,0.216,2.62,0.551,4.51,0.153,0.089,0.0000,0.0003,0.4646,0.0090,0.0000
6A,100,500,500,allbirds,NA,NA,0.315,10.97,0.999,21.47,0.023,0.90,-0.331,-4.58,0.779,0.060,0.0000,0.0000,0.0000,0.3698,0.0000
6A,103,500,78,allbirds,NA,NA,0.259,5.83,0.126,1.65,0.003,0.03,-0.173,-1.78,0.132,0.087,0.0000,0.0000,0.1003,0.9736,0.0752
6A,104,26,13,allbirds,NA,NA,-0.789,-2.84,1.515,4.18,2.438,4.74,-0.445,-0.46,0.857,0.086,0.0000,0.0076,0.0002,0.0000,0.6474
6A,105,500,305,allbirds,NA,NA,-0.052,-0.93,0.620,10.64,0.074,0.85,0.292,3.21,0.520,0.114,0.0000,0.3533,0.0000,0.3961,0.0014
6B,108,26,500,allbirds,NA,NA,0.359,10.39,0.143,2.16,-0.068,-1.03,-0.005,-0.05,0.237,0.111,0.0000,0.0000,0.0312,0.3018,0.9637
9,136,31,49,allbirds,NA,NA,-0.630,-2.72,0.527,2.00,-0.122,-0.48,1.686,2.72,0.535,0.113,0.0000,0.0080,0.0492,0.6341,0.0082
11,165,151,223,allbirds,NA,NA,0.277,4.76,0.059,0.66,-0.189,-2.43,0.575,8.45,0.693,0.048,0.0000,0.0000,0.5087,0.0156,0.0000
11,166,21,160,allbirds,NA,NA,0.157,2.33,-1.262,-7.35,0.070,0.43,1.227,5.30,0.259,0.087,0.0000,0.0211,0.0000,0.6647,0.0000
11,168,500,18,allbirds,NA,NA,-0.077,-1.14,-0.195,-2.19,0.194,2.70,0.056,0.73,0.022,0.060,0.0040,0.2535,0.0289,0.0072,0.4643
11,170,500,433,allbirds,NA,NA,0.089,1.63,0.192,2.12,-0.253,-3.79,0.198,2.96,0.171,0.110,0.0000,0.1038,0.0341,0.0002,0.0031
11,171,130,320,allbirds,NA,NA,-0.258,-3.81,0.407,5.07,0.189,3.12,0.004,0.04,0.317,0.058,0.0000,0.0002,0.0000,0.0019,0.9659
12,172,500,26,allbirds,NA,NA,-0.164,-2.33,0.156,2.25,-0.188,-2.67,0.705,6.77,0.152,0.072,0.0000,0.0203,0.0248,0.0078,0.0000
12,175,500,81,allbirds,NA,NA,-0.244,-5.00,0.717,13.83,0.075,1.32,-0.298,-3.85,0.393,0.060,0.0000,0.0000,0.0000,0.1888,0.0001
12,176,100,153,allbirds,NA,NA,0.318,4.77,-0.600,-3.88,-0.012,-0.13,0.221,0.99,0.078,0.093,0.0001,0.0000,0.0001,0.8953,0.3210
12,177,37,61,allbirds,NA,NA,0.498,3.69,0.021,0.06,-0.566,-3.62,0.744,2.21,0.524,0.113,0.0000,0.0004,0.9487,0.0005,0.0296
12,178,166,352,allbirds,NA,NA,-0.099,-1.48,0.088,0.83,0.217,3.43,0.126,1.17,0.077,0.109,0.0000,0.1391,0.4088,0.0007,0.2429
12,179,500,127,allbirds,NA,NA,0.268,3.99,-0.002,-0.03,-0.052,-0.67,0.166,2.03,0.184,0.076,0.0000,0.0001,0.9764,0.5027,0.0429
12,180,500,420,allbirds,NA,NA,0.336,8.64,-0.154,-2.67,0.196,3.51,-0.105,-1.11,0.180,0.112,0.0000,0.0000,0.0078,0.0005,0.2668
12,181,67,500,allbirds,NA,NA,-0.362,-6.32,0.552,11.88,0.043,0.89,0.106,0.90,0.428,0.067,0.0000,0.0000,0.0000,0.3754,0.3691
12,183,31,23,allbirds,NA,NA,0.415,3.90,-0.101,-1.04,0.071,0.50,-0.285,-1.38,0.370,0.040,0.0000,0.0003,0.3033,0.6164,0.1745
14,199,12,500,allbirds,NA,NA,-0.151,-4.54,1.099,12.55,0.261,2.82,-0.282,-2.78,0.411,0.099,0.0000,0.0000,0.0000,0.0049,0.0056
14,200,330,33,allbirds,NA,NA,0.041,0.52,0.199,1.67,0.182,1.20,-0.075,-0.48,0.054,0.073,0.0001,0.6067,0.0965,0.2300,0.6329
14,207,309,105,allbirds,NA,NA,0.368,4.85,-0.195,-2.05,0.025,0.33,0.586,5.69,0.441,0.073,0.0000,0.0000,0.0408,0.7430,0.0000
15,215,265,500,allbirds,NA,NA,-0.011,-0.27,0.033,0.46,0.183,3.74,0.508,5.84,0.247,0.145,0.0000,0.7870,0.6449,0.0002,0.0000
15,216,500,500,allbirds,NA,NA,0.353,9.73,0.468,9.65,-0.266,-4.14,-0.072,-0.76,0.345,0.119,0.0000,0.0000,0.0000,0.0000,0.4488
15,217,500,234,allbirds,NA,NA,0.102,2.76,0.792,12.99,-0.061,-1.02,-0.147,-1.77,0.398,0.095,0.0000,0.0060,0.0000,0.3098,0.0767
4,51,49,192,forestbirds,NA,NA,0.385,1.98,0.891,2.58,-1.717,-5.21,0.844,2.90,0.824,0.070,0.0000,0.0488,0.0105,0.0000,0.0041
4,52,357,141,forestbirds,NA,NA,-0.053,-0.91,0.139,1.74,-0.087,-1.04,1.333,13.59,0.523,0.087,0.0000,0.3648,0.0820,0.2994,0.0000
4,53,76,500,forestbirds,NA,NA,0.134,2.03,2.042,16.38,-0.561,-5.13,-0.895,-6.08,0.496,0.080,0.0000,0.0428,0.0000,0.0000,0.0000
4,55,21,145,forestbirds,NA,NA,-0.131,-2.11,-0.307,-2.49,0.354,2.73,0.338,2.01,0.073,0.109,0.0027,0.0368,0.0138,0.0070,0.0457
4,59,500,152,forestbirds,NA,NA,0.513,12.24,0.227,3.63,0.182,3.50,-0.035,-0.50,0.584,0.076,0.0000,0.0000,0.0003,0.0005,0.6181
4,60,470,93,forestbirds,NA,NA,0.628,7.21,1.156,22.88,0.059,0.80,-0.593,-8.63,0.714,0.075,0.0000,0.0000,0.0000,0.4255,0.0000
4,62,41,80,forestbirds,NA,NA,0.337,2.53,0.773,4.87,0.086,0.26,-1.133,-5.28,0.655,0.085,0.0000,0.0126,0.0000,0.7925,0.0000
5,68,233,208,forestbirds,NA,NA,0.650,14.96,-0.148,-1.74,-0.108,-2.56,0.450,5.27,0.794,0.088,0.0000,0.0000,0.0820,0.0107,0.0000
5,69,500,500,forestbirds,NA,NA,-0.045,-2.11,0.624,16.32,0.435,8.25,0.747,10.56,0.897,0.067,0.0000,0.0349,0.0000,0.0000,0.0000
5,70,500,129,forestbirds,NA,NA,0.279,5.33,-0.586,-6.08,0.180,1.84,0.844,10.32,0.393,0.102,0.0000,0.0000,0.0000,0.0656,0.0000
5,71,500,167,forestbirds,NA,NA,0.205,5.66,0.905,16.46,0.006,0.09,0.402,4.67,0.767,0.079,0.0000,0.0000,0.0000,0.9308,0.0000
5,72,500,210,forestbirds,NA,NA,0.295,8.70,-0.522,-8.07,-0.111,-1.80,0.903,8.95,0.371,0.059,0.0000,0.0000,0.0000,0.0719,0.0000
5,74,500,173,forestbirds,NA,NA,-0.098,-2.28,0.883,11.73,-0.255,-4.72,0.192,2.32,0.268,0.087,0.0000,0.0232,0.0000,0.0000,0.0205
5,77,500,398,forestbirds,NA,NA,-0.078,-3.16,0.357,6.85,-0.004,-0.09,0.569,12.03,0.603,0.074,0.0000,0.0016,0.0000,0.9286,0.0000
5,78,500,365,forestbirds,NA,NA,0.043,1.03,0.571,8.70,0.210,3.14,0.209,4.31,0.491,0.106,0.0000,0.3026,0.0000,0.0017,0.0000
5,80,69,419,forestbirds,NA,NA,-0.256,-4.05,0.953,10.44,-0.037,-0.44,-0.301,-2.46,0.254,0.144,0.0000,0.0001,0.0000,0.6620,0.0142
6A,87,121,36,forestbirds,NA,NA,0.314,3.39,0.878,6.78,-0.083,-0.44,-1.026,-4.73,0.533,0.065,0.0000,0.0009,0.0000,0.6620,0.0000
6A,88,500,29,forestbirds,NA,NA,0.280,4.28,0.351,4.68,0.268,3.00,-0.315,-2.82,0.294,0.079,0.0000,0.0000,0.0000,0.0029,0.0050
6A,89,500,28,forestbirds,NA,NA,-0.229,-4.32,0.678,12.97,-0.230,-3.40,0.336,3.91,0.350,0.062,0.0000,0.0000,0.0000,0.0007,0.0001
6A,90,500,101,forestbirds,NA,NA,0.372,11.22,0.269,3.93,0.459,9.04,-0.257,-2.76,0.677,0.056,0.0000,0.0000,0.0001,0.0000,0.0060
6A,94,251,500,forestbirds,NA,NA,0.494,8.80,-0.891,-10.79,0.884,18.65,0.754,5.37,0.632,0.102,0.0000,0.0000,0.0000,0.0000,0.0000
6A,95,500,109,forestbirds,NA,NA,-0.166,-2.72,0.084,1.06,0.142,1.67,0.625,5.14,0.204,0.091,0.0000,0.0067,0.2911,0.0949,0.0000
6A,100,500,500,forestbirds,NA,NA,0.270,8.54,0.935,17.94,0.391,13.12,-0.654,-7.91,0.754,0.067,0.0000,0.0000,0.0000,0.0000,0.0000
6A,103,500,78,forestbirds,NA,NA,0.296,6.44,0.132,1.69,0.021,0.24,-0.198,-1.96,0.160,0.090,0.0000,0.0000,0.0913,0.8069,0.0503
6A,104,26,13,forestbirds,NA,NA,-0.560,-2.39,1.224,4.00,2.670,6.15,-1.260,-1.55,0.858,0.073,0.0000,0.0225,0.0003,0.0000,0.1305
6A,105,500,305,forestbirds,NA,NA,-0.131,-2.21,0.600,9.80,0.185,1.99,0.345,3.70,0.491,0.120,0.0000,0.0272,0.0000,0.0465,0.0002
6B,108,26,500,forestbirds,NA,NA,0.348,10.30,0.099,1.52,-0.144,-2.22,0.170,1.51,0.231,0.111,0.0000,0.0000,0.1296,0.0272,0.1318
9,136,31,49,forestbirds,NA,NA,-0.572,-2.33,0.374,1.34,0.127,0.47,1.365,2.08,0.439,0.120,0.0000,0.0222,0.1839,0.6423,0.0414
11,165,151,223,forestbirds,NA,NA,0.136,2.95,0.052,0.73,-0.238,-3.85,0.571,10.58,0.649,0.038,0.0000,0.0034,0.4682,0.0001,0.0000
11,166,21,160,forestbirds,NA,NA,0.633,18.33,-0.364,-4.13,-0.636,-7.73,0.355,3.00,0.705,0.045,0.0000,0.0000,0.0001,0.0000,0.0031
11,168,500,18,forestbirds,NA,NA,-0.105,-1.32,-0.380,-3.54,0.304,3.36,0.293,3.15,0.055,0.071,0.0000,0.1874,0.0004,0.0008,0.0017
11,170,500,433,forestbirds,NA,NA,-0.112,-2.11,0.459,5.27,-0.223,-3.47,0.526,8.18,0.494,0.105,0.0000,0.0351,0.0000,0.0006,0.0000
11,171,130,320,forestbirds,NA,NA,-0.053,-0.57,0.584,5.29,0.147,1.76,0.189,1.58,0.632,0.080,0.0000,0.5661,0.0000,0.0789,0.1151
12,172,500,26,forestbirds,NA,NA,-0.218,-3.61,0.108,1.66,-0.138,-2.24,0.646,7.07,0.154,0.062,0.0000,0.0003,0.0978,0.0254,0.0000
12,175,500,81,forestbirds,NA,NA,0.068,1.27,0.154,2.78,-0.228,-3.54,0.439,5.28,0.264,0.066,0.0000,0.2037,0.0056,0.0004,0.0000
12,176,100,153,forestbirds,NA,NA,-0.227,-3.46,0.344,2.26,-0.063,-0.68,0.091,0.42,0.036,0.091,0.0111,0.0006,0.0246,0.4945,0.6766
12,177,37,61,forestbirds,NA,NA,0.488,4.01,0.088,0.31,-0.530,-3.77,0.503,1.66,0.521,0.101,0.0000,0.0001,0.7600,0.0003,0.1003
12,178,166,352,forestbirds,NA,NA,0.073,1.06,-0.426,-3.90,0.158,2.44,0.378,3.42,0.057,0.112,0.0000,0.2911,0.0001,0.0152,0.0007
12,179,500,127,forestbirds,NA,NA,0.329,5.05,-0.270,-3.83,-0.179,-2.27,0.248,3.11,0.145,0.076,0.0000,0.0000,0.0001,0.0238,0.0020
12,180,500,420,forestbirds,NA,NA,0.424,11.28,-0.222,-3.96,0.194,3.61,-0.088,-0.96,0.250,0.108,0.0000,0.0000,0.0001,0.0003,0.3357
12,181,67,500,forestbirds,NA,NA,-1.024,-14.10,1.007,16.09,0.484,7.99,0.738,4.94,0.703,0.086,0.0000,0.0000,0.0000,0.0000,0.0000
12,183,31,23,forestbirds,NA,NA,0.271,1.77,-0.098,-0.70,0.169,0.84,-0.416,-1.40,-0.003,0.057,0.4350,0.0828,0.4876,0.4058,0.1682
14,199,12,500,forestbirds,NA,NA,-0.249,-8.61,0.518,6.86,0.179,2.36,-0.295,-3.22,0.142,0.091,0.0000,0.0000,0.0000,0.0187,0.0014
14,200,330,33,forestbirds,NA,NA,0.599,8.40,0.319,2.93,-0.114,-0.89,-0.381,-2.62,0.288,0.065,0.0000,0.0000,0.0036,0.3757,0.0092
14,207,309,105,forestbirds,NA,NA,0.148,1.93,-0.187,-1.95,0.036,0.47,0.760,7.29,0.384,0.074,0.0000,0.0539,0.0521,0.6390,0.0000
15,215,265,500,forestbirds,NA,NA,-0.072,-1.86,0.105,1.44,0.034,0.68,0.683,8.09,0.236,0.143,0.0000,0.0637,0.1492,0.4950,0.0000
15,216,500,500,forestbirds,NA,NA,0.194,5.61,0.503,10.52,-0.324,-5.19,0.175,1.89,0.352,0.116,0.0000,0.0000,0.0000,0.0000,0.0589
15,217,500,234,forestbirds,NA,NA,0.202,6.04,0.811,14.48,-0.165,-3.06,0.020,0.26,0.555,0.086,0.0000,0.0000,0.0000,0.0023,0.7981
4,51,49,192,allwaterfowl,NA,NA,0.078,0.42,-0.949,-2.85,-0.431,-1.36,1.282,4.57,0.306,0.067,0.0000,0.6785,0.0047,0.1755,0.0000
4,52,357,141,allwaterfowl,NA,NA,0.092,1.49,-0.132,-1.57,0.374,4.22,-0.048,-0.46,0.066,0.093,0.0000,0.1364,0.1177,0.0000,0.6447
4,53,76,500,allwaterfowl,NA,NA,-0.205,-9.75,0.077,1.98,1.638,46.71,-0.384,-8.30,0.964,0.025,0.0000,0.0000,0.0483,0.0000,0.0000
4,55,21,145,allwaterfowl,NA,NA,0.119,2.04,0.956,8.23,0.208,1.71,-0.827,-5.22,0.400,0.103,0.0000,0.0434,0.0000,0.0901,0.0000
4,59,500,152,allwaterfowl,NA,NA,0.002,0.03,-0.115,-1.59,0.141,2.39,0.119,1.49,0.030,0.088,0.0001,0.9730,0.1129,0.0173,0.1374
4,60,470,93,allwaterfowl,NA,NA,0.063,0.92,0.654,16.61,0.236,4.12,-0.034,-0.64,0.619,0.058,0.0000,0.3568,0.0000,0.0000,0.5215
4,62,41,80,allwaterfowl,NA,NA,-0.072,-1.85,0.336,7.19,0.025,0.26,-0.029,-0.46,0.629,0.025,0.0000,0.0667,0.0000,0.7962,0.6433
