species,bcr,term,estimate,std.error,statistic,p.value
allbirds,BCR4,Intcpt,0.11,0.01,19.28,0
allbirds,BCR4,CMI,-0.14,0.03,-4.14,0
allbirds,BCR4,GPP,0.24,0.04,5.9,0
allbirds,BCR4,LED,0.13,0.03,3.86,0
allbirds,BCR4,LCC,0.43,0.04,10.95,0
allbirds,BCR6,Intcpt,0.08,0.01,9.38,0
allbirds,BCR6,CMI,0.1,0.04,2.25,0.025
allbirds,BCR6,GPP,0.27,0.04,6.51,0
allbirds,BCR6,LED,0.23,0.04,5.64,0
allbirds,BCR6,LCC,0.34,0.04,8.98,0
allbirds,BCR7,Intcpt,0.07,0.01,9.66,0
allbirds,BCR7,CMI,0.26,0.04,6.6,0
allbirds,BCR7,GPP,0.21,0.03,6.79,0
allbirds,BCR7,LED,0.2,0.03,7.35,0
allbirds,BCR7,LCC,0.46,0.03,14.61,0
allbirds,BCR8,Intcpt,0.15,0.01,22.81,0
allbirds,BCR8,CMI,-0.14,0.03,-4.15,0
allbirds,BCR8,GPP,0.23,0.03,7.38,0
allbirds,BCR8,LED,0.25,0.03,8.33,0
allbirds,BCR8,LCC,0.08,0.04,2.2,0.028
allwaterfowl,BCR4,Intcpt,0.1,0.01,16.91,0
allwaterfowl,BCR4,CMI,-0.12,0.04,-3.41,0.001
allwaterfowl,BCR4,GPP,0.03,0.04,0.6,0.548
allwaterfowl,BCR4,LED,0.22,0.04,6.29,0
allwaterfowl,BCR4,LCC,0.66,0.04,15.97,0
allwaterfowl,BCR6,Intcpt,0.17,0.01,13.11,0
allwaterfowl,BCR6,CMI,-0.19,0.06,-3,0.003
allwaterfowl,BCR6,GPP,0.57,0.06,9.63,0
allwaterfowl,BCR6,LED,-0.27,0.06,-4.7,0
allwaterfowl,BCR6,LCC,0.14,0.05,2.66,0.008
allwaterfowl,BCR7,Intcpt,0.04,0.01,5.25,0
allwaterfowl,BCR7,CMI,0.24,0.04,5.96,0
allwaterfowl,BCR7,GPP,0.29,0.03,8.77,0
allwaterfowl,BCR7,LED,0.44,0.03,14.91,0
allwaterfowl,BCR7,LCC,0.33,0.03,10,0
allwaterfowl,BCR8,Intcpt,0.09,0.01,16.47,0
allwaterfowl,BCR8,CMI,-0.14,0.03,-5.19,0
allwaterfowl,BCR8,GPP,0.2,0.03,7.6,0
allwaterfowl,BCR8,LED,0.48,0.02,19.39,0
allwaterfowl,BCR8,LCC,0.15,0.03,4.93,0
cavitynesters,BCR4,Intcpt,0.11,0.01,17.64,0
cavitynesters,BCR4,CMI,-0.08,0.04,-2.22,0.026
cavitynesters,BCR4,GPP,0.19,0.04,4.31,0
cavitynesters,BCR4,LED,0.12,0.04,3.36,0.001
cavitynesters,BCR4,LCC,0.65,0.04,15.24,0
cavitynesters,BCR6,Intcpt,0.08,0.01,9.23,0
cavitynesters,BCR6,CMI,0.08,0.04,1.87,0.062
cavitynesters,BCR6,GPP,0.29,0.04,7.77,0
cavitynesters,BCR6,LED,0.09,0.04,2.34,0.02
cavitynesters,BCR6,LCC,0.29,0.03,8.4,0
cavitynesters,BCR7,Intcpt,0.03,0.01,4.84,0
cavitynesters,BCR7,CMI,0.23,0.03,7.12,0
cavitynesters,BCR7,GPP,0.21,0.03,8.11,0
cavitynesters,BCR7,LED,0.4,0.02,16.9,0
cavitynesters,BCR7,LCC,0.38,0.03,14.36,0
cavitynesters,BCR8,Intcpt,0.05,0.01,8.21,0
cavitynesters,BCR8,CMI,-0.06,0.03,-2.21,0.027
cavitynesters,BCR8,GPP,0.23,0.03,8.32,0
cavitynesters,BCR8,LED,0.5,0.03,18.91,0
cavitynesters,BCR8,LCC,0.36,0.03,10.93,0
coniferbirds,BCR4,Intcpt,0.11,0.01,19.43,0
coniferbirds,BCR4,CMI,-0.09,0.04,-2.38,0.017
coniferbirds,BCR4,GPP,0.02,0.04,0.53,0.6
coniferbirds,BCR4,LED,0.13,0.04,3.8,0
coniferbirds,BCR4,LCC,0.54,0.04,13.15,0
coniferbirds,BCR6,Intcpt,0.18,0.01,13.14,0
coniferbirds,BCR6,CMI,-0.04,0.07,-0.6,0.548
coniferbirds,BCR6,GPP,0.28,0.06,4.56,0
coniferbirds,BCR6,LED,0.14,0.06,2.26,0.024
coniferbirds,BCR6,LCC,0.17,0.06,2.95,0.003
coniferbirds,BCR7,Intcpt,0.11,0.01,12.66,0
coniferbirds,BCR7,CMI,-0.02,0.05,-0.44,0.659
coniferbirds,BCR7,GPP,0.33,0.04,8.9,0
coniferbirds,BCR7,LED,0.17,0.03,5.04,0
coniferbirds,BCR7,LCC,0.57,0.04,15.4,0
coniferbirds,BCR8,Intcpt,0.08,0.01,14.42,0
coniferbirds,BCR8,CMI,0.27,0.03,9.15,0
coniferbirds,BCR8,GPP,0.38,0.03,13.51,0
coniferbirds,BCR8,LED,-0.02,0.03,-0.85,0.398
coniferbirds,BCR8,LCC,0.45,0.03,13.32,0
deciduousbirds,BCR4,Intcpt,0.03,0.01,6.37,0
deciduousbirds,BCR4,CMI,0.26,0.03,8.48,0
deciduousbirds,BCR4,GPP,0.22,0.04,6.11,0
deciduousbirds,BCR4,LED,0.16,0.03,5.22,0
deciduousbirds,BCR4,LCC,0.72,0.04,20.22,0
deciduousbirds,BCR6,Intcpt,0.12,0.01,12.62,0
deciduousbirds,BCR6,CMI,0.18,0.05,3.71,0
deciduousbirds,BCR6,GPP,0.38,0.04,8.64,0
deciduousbirds,BCR6,LED,-0,0.04,-0.04,0.965
deciduousbirds,BCR6,LCC,0.12,0.04,3.05,0.002
deciduousbirds,BCR7,Intcpt,0.14,0.01,17.89,0
deciduousbirds,BCR7,CMI,0.11,0.04,2.76,0.006
deciduousbirds,BCR7,GPP,0.32,0.03,10.19,0
deciduousbirds,BCR7,LED,0.25,0.03,8.77,0
deciduousbirds,BCR7,LCC,0.09,0.03,2.98,0.003
deciduousbirds,BCR8,Intcpt,0.09,0.01,12.22,0
deciduousbirds,BCR8,CMI,0.1,0.04,2.83,0.005
deciduousbirds,BCR8,GPP,0.46,0.04,13.02,0
deciduousbirds,BCR8,LED,0.03,0.03,0.98,0.326
deciduousbirds,BCR8,LCC,0.66,0.04,15.87,0
decliningbirds,BCR4,Intcpt,0.06,0.01,10.03,0
decliningbirds,BCR4,CMI,0.31,0.04,8.81,0
decliningbirds,BCR4,GPP,-0.01,0.04,-0.2,0.841
decliningbirds,BCR4,LED,0.15,0.03,4.3,0
decliningbirds,BCR4,LCC,0.72,0.04,18.08,0
decliningbirds,BCR6,Intcpt,0.13,0.01,9.86,0
decliningbirds,BCR6,CMI,0.03,0.06,0.47,0.639
decliningbirds,BCR6,GPP,0.73,0.06,12.36,0
decliningbirds,BCR6,LED,0.01,0.06,0.26,0.799
decliningbirds,BCR6,LCC,0.08,0.05,1.45,0.147
decliningbirds,BCR7,Intcpt,0.16,0.01,18.88,0
decliningbirds,BCR7,CMI,-0.07,0.04,-1.71,0.087
decliningbirds,BCR7,GPP,0.29,0.03,8.66,0
decliningbirds,BCR7,LED,0.15,0.03,4.85,0
decliningbirds,BCR7,LCC,0.22,0.03,6.34,0
decliningbirds,BCR8,Intcpt,0.17,0.01,25.99,0
decliningbirds,BCR8,CMI,0.03,0.03,0.9,0.37
decliningbirds,BCR8,GPP,0.13,0.03,4.12,0
decliningbirds,BCR8,LED,0.06,0.03,2.1,0.036
decliningbirds,BCR8,LCC,0.16,0.04,4.27,0
forestbirds,BCR4,Intcpt,0.1,0.01,17.86,0
forestbirds,BCR4,CMI,0.13,0.03,3.96,0
forestbirds,BCR4,GPP,0.05,0.04,1.17,0.241
forestbirds,BCR4,LED,0.09,0.03,2.63,0.009
forestbirds,BCR4,LCC,0.5,0.04,13.14,0
forestbirds,BCR6,Intcpt,0.11,0.01,12.15,0
forestbirds,BCR6,CMI,0.16,0.05,3.46,0.001
forestbirds,BCR6,GPP,0.01,0.04,0.31,0.756
forestbirds,BCR6,LED,0.28,0.04,6.85,0
forestbirds,BCR6,LCC,0.18,0.04,4.68,0
forestbirds,BCR7,Intcpt,0.07,0.01,9.41,0
forestbirds,BCR7,CMI,0.35,0.04,8.55,0
forestbirds,BCR7,GPP,0.21,0.03,6.47,0
forestbirds,BCR7,LED,0.19,0.03,6.7,0
forestbirds,BCR7,LCC,0.45,0.03,13.89,0
forestbirds,BCR8,Intcpt,0.15,0.01,22.07,0
forestbirds,BCR8,CMI,-0.08,0.03,-2.45,0.014
forestbirds,BCR8,GPP,0.2,0.03,6.16,0
forestbirds,BCR8,LED,0.23,0.03,7.24,0
forestbirds,BCR8,LCC,0.1,0.04,2.63,0.008
grasslandbirds,BCR4,Intcpt,0.06,0.01,10.9,0
grasslandbirds,BCR4,CMI,0.12,0.03,3.75,0
grasslandbirds,BCR4,GPP,0.06,0.04,1.59,0.112
grasslandbirds,BCR4,LED,0.3,0.03,9.31,0
grasslandbirds,BCR4,LCC,0.63,0.04,17.02,0
grasslandbirds,BCR6,Intcpt,0.18,0.01,18.81,0
grasslandbirds,BCR6,CMI,0.09,0.05,1.97,0.049
grasslandbirds,BCR6,GPP,0.43,0.04,9.97,0
grasslandbirds,BCR6,LED,-0.17,0.04,-4.04,0
grasslandbirds,BCR6,LCC,-0.32,0.04,-7.98,0
grasslandbirds,BCR7,Intcpt,0.09,0.01,11.56,0
grasslandbirds,BCR7,CMI,0.47,0.04,11.57,0
grasslandbirds,BCR7,GPP,0.37,0.03,11.49,0
grasslandbirds,BCR7,LED,0.28,0.03,9.45,0
grasslandbirds,BCR7,LCC,-0.05,0.03,-1.42,0.155
grasslandbirds,BCR8,Intcpt,0.15,0.01,21.63,0
grasslandbirds,BCR8,CMI,0.15,0.04,4.17,0
grasslandbirds,BCR8,GPP,0.18,0.03,5.31,0
grasslandbirds,BCR8,LED,0.15,0.03,4.47,0
grasslandbirds,BCR8,LCC,-0.07,0.04,-1.81,0.071
groundnesters,BCR4,Intcpt,0.11,0.01,18,0
groundnesters,BCR4,CMI,-0.09,0.04,-2.29,0.022
groundnesters,BCR4,GPP,0.06,0.05,1.4,0.161
groundnesters,BCR4,LED,0.24,0.04,6.25,0
groundnesters,BCR4,LCC,0.62,0.04,13.93,0
groundnesters,BCR6,Intcpt,0.15,0.01,12.32,0
groundnesters,BCR6,CMI,-0.05,0.06,-0.91,0.364
groundnesters,BCR6,GPP,0.34,0.05,6.42,0
groundnesters,BCR6,LED,-0.12,0.05,-2.25,0.025
groundnesters,BCR6,LCC,0.19,0.05,3.76,0
groundnesters,BCR7,Intcpt,0.09,0.01,10.43,0
groundnesters,BCR7,CMI,0.17,0.04,3.92,0
groundnesters,BCR7,GPP,0.35,0.03,10.19,0
groundnesters,BCR7,LED,0.4,0.03,12.78,0
groundnesters,BCR7,LCC,0.1,0.03,2.77,0.006
groundnesters,BCR8,Intcpt,0.14,0.01,24.14,0
groundnesters,BCR8,CMI,-0.07,0.03,-2.23,0.026
groundnesters,BCR8,GPP,0.19,0.03,6.8,0
groundnesters,BCR8,LED,0.11,0.03,3.9,0
groundnesters,BCR8,LCC,0.11,0.03,3.19,0.001
lowconcernbirds,BCR4,Intcpt,0.1,0,21.18,0
lowconcernbirds,BCR4,CMI,-0.23,0.03,-7.41,0
lowconcernbirds,BCR4,GPP,0.52,0.04,14.74,0
lowconcernbirds,BCR4,LED,0.15,0.03,5.1,0
lowconcernbirds,BCR4,LCC,0.27,0.03,7.84,0
lowconcernbirds,BCR6,Intcpt,0.09,0.01,9.34,0
lowconcernbirds,BCR6,CMI,0.15,0.05,3.1,0.002
lowconcernbirds,BCR6,GPP,0.3,0.04,6.96,0
lowconcernbirds,BCR6,LED,0.19,0.04,4.63,0
lowconcernbirds,BCR6,LCC,0.34,0.04,8.73,0
lowconcernbirds,BCR7,Intcpt,0.11,0.01,14.28,0
lowconcernbirds,BCR7,CMI,0.24,0.04,6.25,0
lowconcernbirds,BCR7,GPP,0.21,0.03,6.89,0
lowconcernbirds,BCR7,LED,0.25,0.03,9.39,0
lowconcernbirds,BCR7,LCC,0.33,0.03,10.76,0
lowconcernbirds,BCR8,Intcpt,0.13,0.01,19.86,0
lowconcernbirds,BCR8,CMI,-0.07,0.03,-2.02,0.043
lowconcernbirds,BCR8,GPP,0.29,0.03,9.03,0
lowconcernbirds,BCR8,LED,0.25,0.03,8.17,0
lowconcernbirds,BCR8,LCC,0.16,0.04,4.21,0
mixedwoodbirds,BCR4,Intcpt,0.1,0.01,16.69,0
mixedwoodbirds,BCR4,CMI,0.16,0.04,4.35,0
mixedwoodbirds,BCR4,GPP,0.22,0.04,4.99,0
mixedwoodbirds,BCR4,LED,-0.01,0.04,-0.22,0.827
mixedwoodbirds,BCR4,LCC,0.44,0.04,10.34,0
mixedwoodbirds,BCR6,Intcpt,0.14,0.01,10.26,0
mixedwoodbirds,BCR6,CMI,0.02,0.07,0.36,0.718
mixedwoodbirds,BCR6,GPP,0.35,0.06,5.59,0
mixedwoodbirds,BCR6,LED,-0.1,0.06,-1.63,0.104
mixedwoodbirds,BCR6,LCC,0.48,0.06,8.31,0
mixedwoodbirds,BCR7,Intcpt,0.11,0.01,14.96,0
mixedwoodbirds,BCR7,CMI,0.29,0.04,7.87,0
mixedwoodbirds,BCR7,GPP,0.39,0.03,13.31,0
mixedwoodbirds,BCR7,LED,0.24,0.03,9.07,0
mixedwoodbirds,BCR7,LCC,0.26,0.03,8.79,0
mixedwoodbirds,BCR8,Intcpt,0.13,0.01,19.71,0
mixedwoodbirds,BCR8,CMI,-0.01,0.03,-0.42,0.673
mixedwoodbirds,BCR8,GPP,0.51,0.03,16.03,0
mixedwoodbirds,BCR8,LED,0.17,0.03,5.74,0
mixedwoodbirds,BCR8,LCC,0.1,0.04,2.76,0.006
neomigrantbirds,BCR4,Intcpt,0.08,0.01,13.48,0
neomigrantbirds,BCR4,CMI,0.15,0.04,4.27,0
neomigrantbirds,BCR4,GPP,-0.12,0.04,-2.97,0.003
neomigrantbirds,BCR4,LED,-0.03,0.04,-0.81,0.417
neomigrantbirds,BCR4,LCC,0.88,0.04,21.46,0
neomigrantbirds,BCR6,Intcpt,0.11,0.01,11.45,0
neomigrantbirds,BCR6,CMI,0.35,0.05,7.15,0
neomigrantbirds,BCR6,GPP,0.08,0.05,1.79,0.074
neomigrantbirds,BCR6,LED,-0.01,0.04,-0.28,0.782
neomigrantbirds,BCR6,LCC,0.16,0.04,3.77,0
neomigrantbirds,BCR7,Intcpt,0.05,0.01,6.9,0
neomigrantbirds,BCR7,CMI,0.31,0.04,8.01,0
neomigrantbirds,BCR7,GPP,0.39,0.03,12.48,0
neomigrantbirds,BCR7,LED,0.29,0.03,10.34,0
neomigrantbirds,BCR7,LCC,0.31,0.03,9.89,0
neomigrantbirds,BCR8,Intcpt,0.11,0.01,16.64,0
neomigrantbirds,BCR8,CMI,-0.03,0.03,-0.9,0.367
neomigrantbirds,BCR8,GPP,0.47,0.03,14.98,0
neomigrantbirds,BCR8,LED,0.11,0.03,3.79,0
neomigrantbirds,BCR8,LCC,0.49,0.04,13.22,0
nomadicbirds,BCR4,Intcpt,0.11,0.01,19.78,0
nomadicbirds,BCR4,CMI,0.06,0.03,1.65,0.098
nomadicbirds,BCR4,GPP,0.1,0.04,2.59,0.01
nomadicbirds,BCR4,LED,0.24,0.03,7.36,0
nomadicbirds,BCR4,LCC,0.41,0.04,10.73,0
nomadicbirds,BCR6,Intcpt,0.15,0.01,16.51,0
nomadicbirds,BCR6,CMI,-0.08,0.04,-1.76,0.078
nomadicbirds,BCR6,GPP,0.48,0.04,12.01,0
nomadicbirds,BCR6,LED,-0.03,0.04,-0.85,0.397
nomadicbirds,BCR6,LCC,0.27,0.04,7.24,0
nomadicbirds,BCR7,Intcpt,0.12,0.01,13.62,0
nomadicbirds,BCR7,CMI,0.32,0.05,6.99,0
nomadicbirds,BCR7,GPP,0.25,0.04,6.75,0
nomadicbirds,BCR7,LED,0.42,0.03,12.86,0
nomadicbirds,BCR7,LCC,-0.04,0.04,-1.02,0.307
nomadicbirds,BCR8,Intcpt,0.08,0.01,11.64,0
nomadicbirds,BCR8,CMI,0.24,0.03,7.19,0
nomadicbirds,BCR8,GPP,0.55,0.03,16.99,0
nomadicbirds,BCR8,LED,0.07,0.03,2.19,0.029
nomadicbirds,BCR8,LCC,0.32,0.04,8.3,0
overwaternesters,BCR4,Intcpt,0.11,0.01,17.81,0
overwaternesters,BCR4,CMI,-0.18,0.04,-4.74,0
overwaternesters,BCR4,GPP,0.05,0.04,1.13,0.259
overwaternesters,BCR4,LED,0.23,0.04,6.32,0
overwaternesters,BCR4,LCC,0.55,0.04,13.04,0
overwaternesters,BCR6,Intcpt,0.16,0.01,12.61,0
overwaternesters,BCR6,CMI,-0.14,0.06,-2.17,0.03
overwaternesters,BCR6,GPP,0.57,0.06,9.68,0
overwaternesters,BCR6,LED,-0.23,0.06,-3.91,0
overwaternesters,BCR6,LCC,0.14,0.05,2.53,0.011
overwaternesters,BCR7,Intcpt,0.08,0.01,9.58,0
overwaternesters,BCR7,CMI,0.24,0.04,5.79,0
overwaternesters,BCR7,GPP,0.49,0.03,14.94,0
overwaternesters,BCR7,LED,0.14,0.03,4.81,0
overwaternesters,BCR7,LCC,0.15,0.03,4.46,0
overwaternesters,BCR8,Intcpt,0.08,0.01,14.13,0
overwaternesters,BCR8,CMI,0.05,0.03,1.73,0.084
overwaternesters,BCR8,GPP,0.23,0.03,8.56,0
overwaternesters,BCR8,LED,0.19,0.03,7.27,0
overwaternesters,BCR8,LCC,0.2,0.03,6.11,0
residentbirds,BCR4,Intcpt,0.09,0.01,17.75,0
residentbirds,BCR4,CMI,0.09,0.03,2.84,0.004
residentbirds,BCR4,GPP,0.13,0.04,3.64,0
residentbirds,BCR4,LED,0.02,0.03,0.77,0.442
residentbirds,BCR4,LCC,0.53,0.04,14.75,0
residentbirds,BCR6,Intcpt,0.12,0.01,10.76,0
residentbirds,BCR6,CMI,0.05,0.06,0.81,0.416
residentbirds,BCR6,GPP,-0.06,0.05,-1.16,0.248
residentbirds,BCR6,LED,0.41,0.05,8.07,0
residentbirds,BCR6,LCC,0.51,0.05,10.74,0
residentbirds,BCR7,Intcpt,0.09,0.01,12.72,0
residentbirds,BCR7,CMI,0.29,0.04,7.76,0
residentbirds,BCR7,GPP,0.18,0.03,5.86,0
residentbirds,BCR7,LED,0.19,0.03,6.84,0
residentbirds,BCR7,LCC,0.44,0.03,14.51,0
residentbirds,BCR8,Intcpt,0.14,0.01,19.46,0
residentbirds,BCR8,CMI,-0.01,0.04,-0.26,0.794
residentbirds,BCR8,GPP,0.19,0.04,5.31,0
residentbirds,BCR8,LED,-0.11,0.03,-3.14,0.002
residentbirds,BCR8,LCC,0.54,0.04,12.84,0
shortmigrantbirds,BCR4,Intcpt,0.09,0.01,15.55,0
shortmigrantbirds,BCR4,CMI,-0,0.03,-0.03,0.974
shortmigrantbirds,BCR4,GPP,0.17,0.04,4.28,0
shortmigrantbirds,BCR4,LED,0.18,0.03,5.24,0
shortmigrantbirds,BCR4,LCC,0.44,0.04,11.2,0
shortmigrantbirds,BCR6,Intcpt,0.14,0.01,13.64,0
shortmigrantbirds,BCR6,CMI,0.2,0.05,3.85,0
shortmigrantbirds,BCR6,GPP,0.27,0.05,5.87,0
shortmigrantbirds,BCR6,LED,0.35,0.05,7.74,0
shortmigrantbirds,BCR6,LCC,-0.29,0.04,-6.88,0
shortmigrantbirds,BCR7,Intcpt,0.14,0.01,17.09,0
shortmigrantbirds,BCR7,CMI,0.14,0.04,3.33,0.001
shortmigrantbirds,BCR7,GPP,0.33,0.03,10.01,0
shortmigrantbirds,BCR7,LED,0.15,0.03,5.03,0
shortmigrantbirds,BCR7,LCC,0.31,0.03,9.31,0
shortmigrantbirds,BCR8,Intcpt,0.09,0.01,13.71,0
shortmigrantbirds,BCR8,CMI,0.21,0.03,6.31,0
shortmigrantbirds,BCR8,GPP,0.17,0.03,5.32,0
shortmigrantbirds,BCR8,LED,-0.06,0.03,-1.98,0.048
shortmigrantbirds,BCR8,LCC,0.58,0.04,15.25,0
