Group,Code,Name,Latin_name,Forest,Conifer,Deciduous,Mixedwood,Grassland,NeoMigrant,ShortMigrant,Nomadic,Resident,Declining,LowConcern,CavityNesters,GroundNesters,OverwaterNesters
Ungulates,Caribou,Caribou,Rangifer tarandus,,,,,,,,,,,,,,
Songbirds,ALFL,Alder Flycatcher,Empidonax alnorum,,,1,,,1,,,,,1,,,
,AMCR,American Crow,Corvus brachyrhynchos,,,1,,,,1,,,,1,,,
,AMGO,American Goldfinch,Spinus tristis,,,1,,,,1,,,,1,,,
,AMPI,American Pipit,Anthus rubescens,,,,,,,,,,,1,,,
,AMRE,American Redstart,Setophaga ruticilla,1,,1,,,1,,,,,1,,,
,AMRO,American Robin,Turdus migratorius,,,1,,,,1,,,,1,,,
,ATSP,American Tree Sparrow,Spizella arborea,,1,,,,,1,,,1,,,,
,BAWW,Black-and-white Warbler,Mniotilta varia,1,,1,,,1,,,,,1,,,
,BBWA,Bay-breasted Warbler,Setophaga castanea,1,,,1,,1,,,,,1,,,
,BCCH,Black-capped Chickadee,Poecile atricapillus,1,,1,,,,,,1,,1,,,
,BHCO,Brown-headed Cowbird,Molothrus ater,,,1,,,,1,,,,1,,,
,BHVI,Blue-headed Vireo,Vireo solitarius,1,,,1,,1,,,,,1,,,
,BLBW,Blackburnian Warbler,Setophaga fusca,1,,,1,,1,,,,,1,,,
,BLJA,Blue Jay,Cyanocitta cristata,1,,1,,,,1,,,,1,,,
,BLPW,Blackpoll Warbler,Setophaga striata,1,1,,,,1,,,,1,,,,
,BOCH,Boreal Chickadee,Poecile hudsonicus,1,1,,,,,,,1,,1,,,
,BRBL,Brewer’s Blackbird,Euphagus cyanocephalus,,,,,1,,1,,,1,,,,
,BRCR,Brown Creeper,Certhia americana,1,,,1,,,1,,,,1,,,
,BTNW,Black-throated Green Warbler,Setophaga virens,1,,,1,,1,,,,,1,,,
,CAWA,Canada Warbler,Cardellina canadensis,1,,,1,,1,,,,1,,,,
,CCSP,Clay-colored Sparrow,Spizella pallida,,,,,1,1,,,,,1,,,
,CEDW,Cedar Waxwing,Bombycilla cedrorum,1,,1,,,,1,,,,1,,,
,CHSP,Chipping Sparrow,Spizella passerina,,,1,,,,1,,,,1,,,
,CMWA,Cape May Warbler,Setophaga tigrina,1,,,1,,1,,,,1,,,,
,COGR,Common Grackle,Quiscalus quiscula,,,1,,,,1,,,1,,,,
,CONW,Connecticut Warbler,Oporornis agilis,1,,,1,,1,,,,1,,,,
,CORA,Common Raven,Corvus corax,1,,1,,,,,,1,,1,,,
,CORE,Common Redpoll,Acanthis flammea,1,1,,,,,,1,,,1,,,
,COYE,Common Yellowthroat,Geothlypis trichas,,,1,,,1,,,,,1,,,
,CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,,,1,,,1,,,,,1,,,
,DEJU,Dark-eyed Junco,Junco hyemalis,1,1,,,,,1,,,,1,,,
,EAKI,Eastern Kingbird,Tyrannus tyrannus,,,1,,,1,,,,,1,,,
,EAPH,Eastern Phoebe,Sayornis phoebe,,,1,,,,1,,,,1,,,
,EVGR,Evening Grosbeak,Coccothraustes vespertinus,1,,,1,,,,1,,1,,,,
,FOSP,Fox Sparrow,Passerella iliaca,1,1,,,,,1,,,,1,,,
,GCKI,Golden-crowned Kinglet,Regulus satrapa,1,,,1,,,1,,,,1,,,
,GCTH,Gray-cheeked Thrush,Catharus minimus,1,1,,,,1,,,,,1,,,
,GRAJ,Gray Jay,Perisoreus canadensis,1,1,,,,,,,1,,1,,,
,HETH,Hermit Thrush,Catharus guttatus,1,,,1,,,1,,,,1,,,
,HOLA,Horned Lark,Eremophila alpestris,,,,,1,,1,,,1,,,,
,LCSP,Le Conte's Sparrow,Ammodramus leconteii,,,1,,,,1,,,1,,,,
,LEFL,Least Flycatcher,Empidonax minimus,1,,1,,,1,,,,1,,,,
,LISP,Lincoln's Sparrow,Melospiza lincolnii,,1,,,,,1,,,,1,,,
,MAWA,Magnolia Warbler,Setophaga magnolia,1,,,1,,1,,,,,1,,,
,MOWA,Mourning Warbler,Geothlypis philadelphia,1,,1,,,1,,,,,1,,,
,NAWA,Nashville Warbler,Oreothlypis ruficapilla,1,,,1,,1,,,,,1,,,
,NOWA,Northern Waterthrush,Parkesia noveboracensis,1,,,1,,1,,,,,1,,,
,OCWA,Orange-crowned Warbler,Oreothlypis celata,1,1,,,,1,,,,,1,,,
,OSFL,Olive-sided Flycatcher,Contopus cooperi,1,1,,,,1,,,,1,,,,
,OVEN,Ovenbird,Seiurus aurocapilla,1,,,1,,1,,,,,1,,,
,PAWA,Palm Warbler,Setophaga palmarum,1,,,1,,1,,,,,1,,,
,PHVI,Philadelphia Vireo,Vireo philadelphicus,1,,,1,,1,,,,,1,,,
,PIGR,Pine Grosbeak,Pinicola enucleator,1,1,,,,,,1,,,1,,,
,PISI,Pine Siskin,Spinus pinus,1,1,,,,,,1,,1,,,,
,PUFI,Purple Finch,Carpodacus purpureus,1,,1,,,,1,,,,1,,,
,RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,,1,,,1,,,,,1,,,
,RBNU,Red-breasted Nuthatch,Sitta canadensis,1,,,1,,,,,1,,1,,,
,RCKI,Ruby-crowned Kinglet,Regulus calendula,1,1,,,,,1,,,,1,,,
,REVI,Red-eyed Vireo,Vireo olivaceus,1,,1,,,1,,,,,1,,,
,RUBL,Rusty Blackbird,Euphagus carolinus,1,1,,,,,1,,,1,,,,
,RWBL,Red-winged Blackbird,Agelaius phoeniceus,,,1,,,,1,,,,1,,,
,SAVS,Savannah Sparrow,Passerculus sandwichensis,,,,,1,,1,,,,1,,,
,SOSP,Song Sparrow,Melospiza melodia,,,1,,,,1,,,,1,,,
,SWSP,Swamp Sparrow,Melospiza georgiana,,,1,,,,1,,,,1,,,
,SWTH,Swainson's Thrush,Catharus ustulatus,1,1,,,,1,,,,,1,,,
,TEWA,Tennessee Warbler,Oreothlypis peregrina,1,,,1,,1,,,,,1,,,
,TRES,Tree Swallow,Tachycineta bicolor,,,1,,,,1,,,,1,,,
,VATH,Varied Thrush,Ixoreus naevius,1,1,,,,,1,,,1,,,,
,VESP,Vesper Sparrow,Pooecetes gramineus,,,,,1,,1,,,,1,,,
,WAVI,Warbling Vireo,Vireo gilvus,,1,,,,1,,,,,1,,,
,WCSP,White-crowned Sparrow,Zonotrichia leucophrys,,1,,,,,1,,,,1,,,
,WETA,Western Tanager,Piranga ludoviciana,1,1,,,,1,,,,,1,,,
,WEWP,Western Wood-Pewee,Loxia leucoptera,1,1,,,,1,,,,,1,,,
,WIWA,Wilson's Warbler,Contopus sordidulus,1,1,,,,1,,,,1,,,,
,WIWR,Winter Wren,Cardellina pusilla,1,,,1,,,1,,,,1,,,
,WTSP,White-throated Sparrow,Troglodytes hiemalis,1,,,1,,,1,,,,1,,,
,WWCR,White-winged Crossbill,Zonotrichia albicollis,1,1,,,,,,1,,,1,,,
,YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,,,,1,,1,,,,,1,,,
,YRWA,Yellow-rumped Warbler,Setophaga coronata,1,,,1,,,1,,,,1,,,
,YWAR,Yellow Warbler,Setophaga petechia,1,,1,,,1,,,,,1,,,
Waterfowl,ABDU,American Black Duck,Anas rubripes,,,,,,,,,,,,,1,
,AGWT,Green-winged Teal,Anas crecca,,,,,,,,,,,,,1,
,AMWI,American Wigeon,Anas americana,,,,,,,,,,,,,1,
,BUFF,Bufflehead,Bucephala albeola,,,,,,,,,,,,1,,
,BWTE,Blue-winged Teal,Anas discors,,,,,,,,,,,,,1,
,CANV,Canvasback,Aythya valisineria,,,,,,,,,,,,,,1
,GADW,Gadwall,Anas strepera,,,,,,,,,,,,,1,
,GGOL,Goldeneye species,Bucephala clangula,,,,,,,,,,,,1,,
,,,Bucephala islandica,,,,,,,,,,,,1,,
,GMER,Merganser species,Mergus merganser,,,,,,,,,,,,1,,
,,,Mergus serrator,,,,,,,,,,,,1,,
,,,Lophodytes cucullatus,,,,,,,,,,,,1,,
,GSCA,Scaup species,Aythya affinis,,,,,,,,,,,,,,1
,,,Aythya marila,,,,,,,,,,,,,,1
,GSCO,Scoter species,Melanitta americana,,,,,,,,,,,,,1,
,,,Melanitta fusca,,,,,,,,,,,,,1,
,,,Melanitta perspicillata,,,,,,,,,,,,,1,
